type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-02 12:15:00,2019-01-02 15:15:00,4.1,4.0,Long,12039,-0.09999999999999964,-1203.8999999999958,986004.8999999998,SL,TTML,0 days 03:00:00
Long,2019-01-02 13:15:00,2019-01-03 09:15:00,7.8,8.45,Long,6320,0.6499999999999995,4107.999999999996,990112.8999999998,TP,VIKASECO-BE,0 days 20:00:00
Long,2019-01-02 13:15:00,2019-01-03 09:15:00,2.1,2.1,Long,23574,0.0,0.0,990112.8999999998,SL,JPPOWER,0 days 20:00:00
Long,2019-01-02 14:15:00,2019-01-03 10:15:00,1.3,1.25,Long,38081,-0.050000000000000044,-1904.0500000000018,988208.8499999997,SL,BCG,0 days 20:00:00
Long,2019-01-02 14:15:00,2019-01-03 10:15:00,3.35,3.4,Long,14749,0.04999999999999982,737.4499999999974,988946.2999999997,TP,RTNPOWER,0 days 20:00:00
Long,2019-01-02 14:15:00,2019-01-03 10:15:00,3.5,3.4,Long,14127,-0.10000000000000009,-1412.7000000000012,987533.5999999997,SL,URJA,0 days 20:00:00
Long,2019-01-02 15:15:00,2019-01-03 11:15:00,0.9,0.85,Long,54862,-0.050000000000000044,-2743.1000000000026,984790.4999999998,SL,GTLINFRA,0 days 20:00:00
Long,2019-01-02 15:15:00,2019-01-03 11:15:00,83.45,81.25,Long,590,-2.200000000000003,-1298.0000000000016,983492.4999999998,SL,IOC,0 days 20:00:00
Long,2019-01-02 15:15:00,2019-01-03 11:15:00,30.0,30.0,Long,1639,0.0,0.0,983492.4999999998,SL,BEL,0 days 20:00:00
Long,2019-01-02 15:15:00,2019-01-03 11:15:00,255.35,250.1,Long,192,-5.25,-1008.0,982484.4999999998,SL,HINDPETRO,0 days 20:00:00
Long,2019-01-03 09:15:00,2019-01-03 12:15:00,31.45,31.6,Long,1561,0.15000000000000213,234.15000000000333,982718.6499999998,TP,DBREALTY,0 days 03:00:00
Long,2019-01-03 09:15:00,2019-01-03 12:15:00,2.05,2.05,Long,23968,0.0,0.0,982718.6499999998,SL,JPPOWER,0 days 03:00:00
Long,2019-01-03 09:15:00,2019-01-03 12:15:00,3.75,3.65,Long,13102,-0.10000000000000009,-1310.2000000000012,981408.4499999998,SL,RAMASTEEL,0 days 03:00:00
Long,2019-01-03 10:15:00,2019-01-03 13:15:00,261.25,260.55,Long,187,-0.6999999999999886,-130.89999999999787,981277.5499999998,SL,TORNTPOWER,0 days 03:00:00
Long,2019-01-03 10:15:00,2019-01-03 13:15:00,34.05,34.25,Long,1440,0.20000000000000284,288.0000000000041,981565.5499999998,TP,SAKUMA-BE,0 days 03:00:00
Long,2019-01-03 10:15:00,2019-01-03 13:15:00,281.6,286.45,Long,174,4.849999999999966,843.8999999999941,982409.4499999998,TP,UJJIVAN,0 days 03:00:00
Long,2019-01-03 10:15:00,2019-01-03 13:15:00,118.0,123.5,Long,416,5.5,2288.0,984697.4499999998,TP,PRAJIND,0 days 03:00:00
Long,2019-01-03 11:15:00,2019-01-03 14:15:00,38.6,37.8,Long,1275,-0.8000000000000043,-1020.0000000000055,983677.4499999998,SL,DISHTV,0 days 03:00:00
Long,2019-01-03 11:15:00,2019-01-03 14:15:00,249.0,245.25,Long,197,-3.75,-738.75,982938.6999999998,SL,INDIANB,0 days 03:00:00
Long,2019-01-03 11:15:00,2019-01-03 14:15:00,3.45,3.4,Long,14245,-0.050000000000000266,-712.2500000000038,982226.4499999998,SL,URJA,0 days 03:00:00
Long,2019-01-03 12:15:00,2019-01-03 15:15:00,9.1,9.15,Long,5396,0.05000000000000071,269.8000000000038,982496.2499999999,TP,BAJAJHIND,0 days 03:00:00
Long,2019-01-03 12:15:00,2019-01-03 15:15:00,107.15,108.9,Long,458,1.75,801.5,983297.7499999999,TP,BALRAMCHIN,0 days 03:00:00
Long,2019-01-03 13:15:00,2019-01-04 09:15:00,106.4,106.55,Long,462,0.14999999999999147,69.29999999999606,983367.0499999999,TP,BANKINDIA,0 days 20:00:00
Long,2019-01-03 13:15:00,2019-01-04 09:15:00,0.85,0.9,Long,57845,0.050000000000000044,2892.2500000000027,986259.2999999999,TP,GTLINFRA,0 days 20:00:00
Long,2019-01-03 13:15:00,2019-01-04 09:15:00,15.3,15.35,Long,3223,0.049999999999998934,161.14999999999657,986420.45,TP,MAHABANK,0 days 20:00:00
Long,2019-01-03 13:15:00,2019-01-04 09:15:00,42.95,41.8,Long,1148,-1.1500000000000057,-1320.2000000000066,985100.25,SL,IDFC,0 days 20:00:00
